,label,area,equivalent_diameter,mean_intensity,filename
0,1,2613,57.67993525,1227.515499,Exo70
1,2,2966,61.45265242,1095.713082,Exo70
2,3,3517,66.91773665,1063.376457,Exo70
3,4,3497,66.72719601,899.1023735,Exo70
4,5,2639,57.96618979,796.6233422,Exo70
5,6,3272,64.54486649,886.8838631,Exo70
6,8,3420,65.98847811,875.6745614,Exo70
7,9,2873,60.48154439,909.8374521,Exo70
8,10,4019,71.53425564,1376.117193,Exo70
9,11,3848,69.99589822,991.5790021,Exo70
10,12,4175,72.90936222,970.7892216,Exo70
11,13,3671,68.36711467,1075.455189,Exo70
12,14,3544,67.1741092,1245.482506,Exo70
13,16,2662,58.21824171,775.7032307,Exo70
14,17,5341,82.46437054,933.3793297,Exo70
15,18,2154,52.36943746,1045.101671,Exo70
16,19,2899,60.75460016,902.2925147,Exo70
17,20,3354,65.34864523,945.7292785,Exo70
18,21,2609,57.6357699,1008.20391,Exo70
19,22,2476,56.14749427,847.582391,Exo70
20,23,3154,63.37032053,925.395371,Exo70
21,24,2322,54.3733595,1109.391473,Exo70
22,25,3358,65.3876012,1283.344848,Exo70
23,26,3399,65.78556994,998.7769932,Exo70
24,27,4053,71.8362017,990.3464101,Exo70
25,28,3860,70.10495448,1342.679275,Exo70
26,29,2206,52.99779652,991.8218495,Exo70
27,30,3311,64.92839235,851.5554213,Exo70
28,31,3718,68.80337657,996.851802,Exo70
29,32,2262,53.66626361,874.6892131,Exo70
30,33,2149,52.30862053,1106.072592,Exo70
31,34,2341,54.59536404,862.1811192,Exo70
32,35,3181,63.64098516,854.0543854,Exo70
33,36,4055,71.85392372,848.5849568,Exo70
34,37,3748,69.08040108,1093.555496,Exo70
35,38,2597,57.50307033,1000.951868,Exo70
36,39,2298,54.09163035,955.5887728,Exo70
37,40,3703,68.6644452,1084.280583,Exo70
38,41,2875,60.50259243,840.6636522,Exo70
39,42,2520,56.64418463,869.7388889,Exo70
40,43,2852,60.2600961,1250.9169,Exo70
41,44,2845,60.18609893,893.883304,Exo70
42,45,3264,64.4659125,1291.793505,Exo70
43,46,2481,56.20415741,1159.85127,Exo70
44,47,3106,62.88626262,983.1384417,Exo70
45,48,826,32.42986068,1054.191283,Exo70
46,49,2171,52.57568879,1134.290649,Exo70
47,50,1948,49.80231554,1257.280801,Exo70
48,51,2937,61.15148848,1266.314607,Exo70
49,52,2758,59.25870961,798.1323423,Exo70
50,53,2713,58.77328377,931.5285662,Exo70
51,55,3823,69.76815018,1155.051792,Exo70
52,56,2748,59.15118147,852.9665211,Exo70
53,57,2696,58.588854,975.1038576,Exo70
54,58,2718,58.82741778,1077.494849,Exo70
55,59,2149,52.30862053,956.011168,Exo70
56,60,2264,53.68998351,1021.782686,Exo70
57,61,3120,63.0278302,1084.767949,Exo70
58,62,2471,56.09077389,1038.851072,Exo70
59,63,2375,54.99039842,688.8694737,Exo70
60,64,2830,60.02722642,1186.054064,Exo70
61,65,3062,62.43924636,826.7370999,Exo70
62,66,3361,65.41680296,973.0184469,Exo70
63,67,2415,55.45154191,1157.95735,Exo70
64,68,3161,63.44060372,1249.528314,Exo70
65,69,3360,65.40707049,942.391369,Exo70
66,70,4114,72.37477107,992.6127856,Exo70
67,71,3696,68.59951426,1106.114448,Exo70
68,72,11,3.742410319,1544.909091,Exo70
69,74,3055,62.36783473,1081.993781,Exo70
70,75,1396,42.15972491,1140.004298,Exo70
71,76,3642,68.09653752,940.3121911,Exo70
72,77,2179,52.67246879,1046.330427,Exo70
73,79,1945,49.76395196,694.3861183,Exo70
74,80,1207,39.20204243,1248.623861,Exo70
75,82,1900,49.18490759,1177.478947,Exo70
76,85,1371,41.78051479,893.8548505,Exo70
77,86,1867,48.75590457,1213.509909,Exo70
78,87,2595,57.48092395,842.028131,Exo70
79,88,1006,35.78936968,897.5318091,Exo70
80,89,2590,57.42552064,933.0239382,Exo70
81,90,1871,48.80810576,1281.213255,Exo70
82,91,1081,37.09948716,1597.502313,Exo70
83,92,2380,55.04825262,889.2289916,Exo70
84,93,2643,58.01010357,823.9803254,Exo70
85,94,1904,49.23665396,1093.035189,Exo70
86,96,2111,51.84408046,853.9426812,Exo70
87,97,1915,49.37867686,1067.76658,Exo70
88,98,1550,44.42433223,1250.885161,Exo70
89,99,1305,40.76245338,1104.491188,Exo70
90,100,871,33.30152614,1759.004592,Exo70
91,101,3554,67.26881404,1139.121272,Exo70
92,102,642,28.59055417,997.6168224,Exo70
93,103,778,31.47348671,939.6413882,Exo70
94,104,758,31.06630932,1138.081794,Exo70
95,105,1363,41.65843851,1003.13573,Exo70
96,106,318,20.12188299,1279.968553,Exo70
97,107,607,27.80029503,1201.261944,Exo70
98,109,1217,39.364102,943.3557929,Exo70
99,110,1102,37.45810965,1228.909256,Exo70
100,112,1048,36.52882482,736.7929389,Exo70
0,1,3398,65.77589204,1141.305474,Exo70
1,2,3474,66.50739943,1131.598158,Exo70
2,3,3366,65.46544361,1119.019608,Exo70
3,4,3213,63.96028969,1280.200436,Exo70
4,6,3909,70.54851792,1114.198005,Exo70
5,7,4151,72.69950034,1078.966514,Exo70
6,9,3185,63.68098578,898.7968603,Exo70
7,10,3452,66.29647735,1195.387891,Exo70
8,11,4081,72.08391348,1077.216614,Exo70
9,14,2731,58.96793363,1055.568656,Exo70
10,15,3527,67.01280381,952.1227672,Exo70
11,16,5036,80.07517935,1024.001787,Exo70
12,18,3123,63.05812476,1205.137048,Exo70
13,20,3532,67.06028685,836.6953567,Exo70
14,21,3047,62.28612119,1289.868067,Exo70
15,22,3719,68.81262869,1163.123689,Exo70
16,23,2874,60.49206933,1357.060195,Exo70
17,24,3467,66.44036049,1212.013845,Exo70
18,25,2374,54.97882028,1164.467144,Exo70
19,28,2997,61.77296266,938.5345345,Exo70
20,29,2518,56.62170232,1152.184273,Exo70
21,30,3355,65.3583864,1234.204769,Exo70
22,31,3143,63.25971774,1118.041998,Exo70
23,32,2853,60.2706597,935.5292674,Exo70
24,33,4685,77.23423637,1197.53127,Exo70
25,34,4846,78.55010397,884.4593479,Exo70
26,35,4468,75.42436136,960.2025515,Exo70
27,36,3065,62.46982635,973.4420881,Exo70
28,37,3409,65.88227082,1313.442945,Exo70
29,38,3366,65.46544361,953.2563874,Exo70
30,39,4005,71.40955382,1167.861174,Exo70
31,40,2911,60.88021283,1079.074888,Exo70
32,42,3019,61.99927569,1190.461742,Exo70
33,43,4063,71.92476813,891.0849126,Exo70
34,45,1566,44.65303044,1647.412516,Exo70
35,46,3409,65.88227082,1086.383104,Exo70
36,47,3724,68.85887063,1052.504834,Exo70
37,48,2927,61.04729435,888.3747865,Exo70
38,49,2410,55.39410892,952.2493776,Exo70
39,50,2266,53.71369293,1028.012357,Exo70
40,51,3101,62.83562547,955.0470816,Exo70
41,52,3661,68.27393334,1095.774379,Exo70
42,53,3202,63.85070886,1143.923173,Exo70
43,54,2586,57.38115947,1141.928848,Exo70
44,55,2978,61.57684114,1064.899933,Exo70
45,56,3528,67.02230311,1032.493197,Exo70
46,57,3371,65.51404815,1210.243845,Exo70
47,58,2446,55.80630723,923.212592,Exo70
48,59,3069,62.51057641,1192.309873,Exo70
49,60,3318,64.99699077,983.251959,Exo70
50,62,2460,55.96578669,1007.22439,Exo70
51,64,2878,60.53415077,1393.709173,Exo70
